"id";"region_id";"region_city";"all_region";"msg_date"
"5272";"5";"Донецька обл.";"1";"2023-06-26 00:16:31"
"5284";"20";"Херсон";"0";"2023-06-26 00:19:43"
"5291";"22";"Черкаська обл.";"1";"2023-06-26 00:31:02"
"5281";"15";"Полтавська обл.";"1";"2023-06-26 00:44:21"
"5273";"5";"Донецька обл.";"1";"2023-06-26 00:47:32"
"5275";"9";"Київська обл.";"1";"2023-06-26 01:12:15"
"5276";"9";"Київська обл.";"1";"2023-06-26 01:50:00"
"5278";"14";"Одеська обл.";"1";"2023-06-26 02:00:27"
"5279";"14";"Одеса";"0";"2023-06-26 02:02:28"
"5280";"14";"Одеса";"0";"2023-06-26 02:54:07"
"5285";"20";"Херсон";"0";"2023-06-26 04:10:53"
"5282";"17";"Сумська обл.";"1";"2023-06-26 04:42:33"
"5286";"20";"Херсон";"0";"2023-06-26 05:18:13"
"5274";"5";"Слов'янськ";"0";"2023-06-26 11:22:21"
"5287";"20";"Херсонська обл.";"1";"2023-06-26 11:23:37"
"5277";"11";"Луганськ";"0";"2023-06-26 13:19:42"
"5288";"20";"Херсонська обл.";"1";"2023-06-26 18:31:46"
"5289";"20";"Білозерка";"0";"2023-06-26 20:45:40"
"5283";"19";"Куп'янськ";"0";"2023-06-26 21:57:47"
"5290";"20";"Херсонська обл.";"1";"2023-06-26 22:39:21"
"5299";"15";"Кременчук";"0";"2023-06-27 12:01:46"
"5300";"17";"Сумська обл.";"1";"2023-06-27 12:05:38"
"5301";"17";"Сумська обл.";"1";"2023-06-27 12:20:20"
"5292";"5";"Краматорськ";"0";"2023-06-27 13:59:15"
"5293";"5";"Краматорськ";"0";"2023-06-27 14:05:04"
"5303";"19";"Вовчанськ";"0";"2023-06-27 14:11:19"
"5294";"5";"Краматорськ";"0";"2023-06-27 15:25:54"
"5304";"20";"Херсонська обл.";"1";"2023-06-27 15:38:16"
"5297";"8";"Бердянськ";"0";"2023-06-27 17:00:36"
"5305";"20";"Херсон";"0";"2023-06-27 17:02:21"
"5302";"17";"Сумська обл.";"1";"2023-06-27 18:23:10"
"5295";"5";"Костянтинівка";"0";"2023-06-27 19:01:22"
"5306";"20";"Херсон";"0";"2023-06-27 19:23:21"
"5296";"5";"Краматорськ";"0";"2023-06-27 19:29:28"
"5298";"8";"Запоріжжя";"0";"2023-06-27 22:14:35"
"5318";"8";"Запорізька обл.";"1";"2023-06-28 00:25:09"
"5319";"8";"Мелітополь";"0";"2023-06-28 00:33:10"
"5308";"5";"Костянтинівка";"0";"2023-06-28 00:37:10"
"5307";"4";"Дніпропетровська обл.";"1";"2023-06-28 00:58:33"
"5320";"8";"Запоріжжя";"0";"2023-06-28 01:20:04"
"5324";"20";"Нова Каховка";"0";"2023-06-28 01:40:21"
"5330";"22";"Черкаська обл.";"1";"2023-06-28 02:46:36"
"5331";"22";"Черкаська обл.";"1";"2023-06-28 03:06:08"
"5321";"8";"Мелітополь";"0";"2023-06-28 10:43:22"
"5309";"5";"Слов'янськ";"0";"2023-06-28 12:03:34"
"5325";"20";"Херсонська обл.";"1";"2023-06-28 12:17:18"
"5326";"20";"Херсонська обл.";"1";"2023-06-28 12:18:01"
"5310";"5";"Донецька обл.";"1";"2023-06-28 14:18:09"
"5311";"5";"Костянтинівка";"0";"2023-06-28 15:44:46"
"5312";"5";"Донецька обл.";"1";"2023-06-28 16:03:33"
"5323";"17";"Сумська обл.";"1";"2023-06-28 16:04:29"
"5313";"5";"Донецька обл.";"1";"2023-06-28 17:09:14"
"5314";"5";"Курахове";"0";"2023-06-28 18:00:23"
"5327";"20";"Херсонська обл.";"1";"2023-06-28 18:31:16"
"5315";"5";"Донецька обл.";"1";"2023-06-28 18:36:05"
"5316";"5";"Костянтинівка";"0";"2023-06-28 19:20:10"
"5328";"20";"Херсонська обл.";"1";"2023-06-28 20:15:14"
"5322";"8";"Мелітополь";"0";"2023-06-28 20:22:00"
"5317";"5";"Костянтинівка";"0";"2023-06-28 21:33:31"
"5329";"20";"Таврійськ";"0";"2023-06-28 22:01:00"
"5337";"17";"Сумська обл.";"1";"2023-06-29 00:06:09"
"5334";"8";"Запоріжжя";"0";"2023-06-29 00:59:00"
"5340";"19";"Харківська обл.";"1";"2023-06-29 01:04:12"
"5335";"8";"Токмак";"0";"2023-06-29 01:25:53"
"5332";"5";"Костянтинівка";"0";"2023-06-29 01:56:20"
"5342";"20";"Херсон";"0";"2023-06-29 09:44:20"
"5341";"19";"Вовчанськ";"0";"2023-06-29 10:34:20"
"5336";"8";"Токмак";"0";"2023-06-29 12:39:52"
"5343";"20";"Херсон";"0";"2023-06-29 13:05:27"
"5333";"5";"Костянтинівка";"0";"2023-06-29 15:17:56"
"5344";"20";"Херсон";"0";"2023-06-29 17:50:30"
"5338";"17";"Сумська обл.";"1";"2023-06-29 17:58:04"
"5339";"17";"Сумська обл.";"1";"2023-06-29 20:18:01"
"5345";"4";"Дніпропетровська обл.";"1";"2023-06-30 00:37:41"
"5351";"8";"Запоріжжя";"0";"2023-06-30 00:48:45"
"5353";"13";"Миколаїв";"0";"2023-06-30 01:50:17"
"5346";"5";"Костянтинівка";"0";"2023-06-30 02:12:14"
"5347";"5";"Костянтинівка";"0";"2023-06-30 02:36:23"
"5352";"8";"Бердянськ";"0";"2023-06-30 08:04:47"
"5348";"5";"Слов'янськ";"0";"2023-06-30 11:37:29"
"5357";"20";"Херсонська обл.";"1";"2023-06-30 12:44:38"
"5349";"5";"Слов'янськ";"0";"2023-06-30 13:53:39"
"5358";"20";"Херсонська обл.";"1";"2023-06-30 14:26:47"
"5354";"17";"Сумська обл.";"1";"2023-06-30 15:33:30"
"5350";"5";"Донецька обл.";"1";"2023-06-30 15:43:04"
"5355";"17";"Сумська обл.";"1";"2023-06-30 17:50:15"
"5356";"19";"Харківська обл.";"1";"2023-06-30 17:50:23"
"5359";"20";"Херсон";"0";"2023-06-30 18:45:26"
"5360";"5";"Костянтинівка";"0";"2023-07-01 09:53:35"
"5369";"17";"Сумська обл.";"1";"2023-07-01 10:14:48"
"5361";"5";"Слов'янськ";"0";"2023-07-01 11:41:46"
"5370";"17";"Сумська обл.";"1";"2023-07-01 12:30:01"
"5371";"17";"Сумська обл.";"1";"2023-07-01 13:02:00"
"5372";"17";"Сумська обл.";"1";"2023-07-01 14:42:39"
"5362";"5";"Костянтинівка";"0";"2023-07-01 14:44:14"
"5367";"8";"Токмак";"0";"2023-07-01 15:53:35"
"5363";"5";"Костянтинівка";"0";"2023-07-01 16:20:01"
"5373";"17";"Сумська обл.";"1";"2023-07-01 17:26:26"
"5374";"17";"Сумська обл.";"1";"2023-07-01 18:30:36"
"5364";"5";"Костянтинівка";"0";"2023-07-01 18:47:38"
"5368";"8";"Мелітополь";"0";"2023-07-01 19:27:17"
"5365";"5";"Донецька обл.";"1";"2023-07-01 21:55:20"
"5366";"5";"Костянтинівка";"0";"2023-07-01 23:34:53"
"5375";"5";"Костянтинівка";"0";"2023-07-02 00:01:42"
"5376";"5";"Краматорськ";"0";"2023-07-02 01:07:12"
"5383";"8";"Запоріжжя";"0";"2023-07-02 01:33:14"
"5384";"9";"Київ";"0";"2023-07-02 02:46:58"
"5377";"5";"Донецька обл.";"1";"2023-07-02 15:07:26"
"5378";"5";"Донецьк";"0";"2023-07-02 18:33:34"
"5379";"5";"Донецька обл.";"1";"2023-07-02 18:35:47"
"5380";"5";"Краматорськ";"0";"2023-07-02 19:27:27"
"5381";"5";"Костянтинівка";"0";"2023-07-02 19:33:19"
"5382";"5";"Донецька обл.";"1";"2023-07-02 21:27:49"
"5392";"13";"Миколаївська обл.";"1";"2023-07-03 00:48:01"
"5385";"4";"Дніпропетровська обл.";"1";"2023-07-03 00:48:07"
"5407";"20";"Херсон";"0";"2023-07-03 01:11:22"
"5393";"13";"Миколаївська обл.";"1";"2023-07-03 01:27:14"
"5386";"5";"Костянтинівка";"0";"2023-07-03 01:30:46"
"5390";"8";"Запоріжжя";"0";"2023-07-03 01:55:47"
"5391";"10";"Кіровоградська обл.";"1";"2023-07-03 02:17:24"
"5413";"21";"Хмельницька обл.";"1";"2023-07-03 04:30:21"
"5394";"17";"Сумська обл.";"1";"2023-07-03 10:42:01"
"5395";"17";"Суми";"0";"2023-07-03 10:52:53"
"5387";"5";"Костянтинівка";"0";"2023-07-03 11:36:37"
"5396";"17";"Сумська обл.";"1";"2023-07-03 13:14:08"
"5397";"17";"Сумська обл.";"1";"2023-07-03 13:57:32"
"5398";"17";"Сумська обл.";"1";"2023-07-03 14:33:46"
"5408";"20";"Херсон";"0";"2023-07-03 15:06:42"
"5399";"17";"Сумська обл.";"1";"2023-07-03 15:30:00"
"5400";"17";"Сумська обл.";"1";"2023-07-03 15:30:49"
"5401";"17";"Сумська обл.";"1";"2023-07-03 16:07:03"
"5402";"17";"Сумська обл.";"1";"2023-07-03 16:48:51"
"5403";"17";"Сумська обл.";"1";"2023-07-03 17:12:02"
"5388";"5";"Маріуполь";"0";"2023-07-03 17:17:18"
"5404";"17";"Сумська обл.";"1";"2023-07-03 18:03:36"
"5405";"17";"Сумська обл.";"1";"2023-07-03 18:39:20"
"5406";"17";"Сумська обл.";"1";"2023-07-03 21:40:00"
"5409";"20";"Скадовськ";"0";"2023-07-03 21:41:45"
"5410";"20";"Херсонська обл.";"1";"2023-07-03 22:07:28"
"5411";"20";"Херсонська обл.";"1";"2023-07-03 22:12:33"
"5389";"5";"Костянтинівка";"0";"2023-07-03 23:21:14"
"5412";"20";"Херсон";"0";"2023-07-03 23:55:12"
"5423";"17";"Сумська обл.";"1";"2023-07-04 09:14:51"
"5424";"17";"Сумська обл.";"1";"2023-07-04 11:34:23"
"5425";"17";"Сумська обл.";"1";"2023-07-04 12:15:17"
"5414";"5";"Костянтинівка";"0";"2023-07-04 12:41:29"
"5426";"17";"Сумська обл.";"1";"2023-07-04 13:01:34"
"5422";"8";"Токмак";"0";"2023-07-04 13:18:31"
"5427";"17";"Сумська обл.";"1";"2023-07-04 13:20:52"
"5433";"19";"Первомайський";"0";"2023-07-04 13:38:31"
"5415";"5";"Дружківка";"0";"2023-07-04 14:27:49"
"5435";"20";"Херсон";"0";"2023-07-04 14:29:03"
"5436";"20";"Херсонська обл.";"1";"2023-07-04 14:39:48"
"5434";"19";"Харківська обл.";"1";"2023-07-04 14:47:43"
"5428";"17";"Сумська обл.";"1";"2023-07-04 16:43:52"
"5416";"5";"Костянтинівка";"0";"2023-07-04 17:44:21"
"5429";"17";"Сумська обл.";"1";"2023-07-04 18:52:14"
"5437";"20";"Херсон";"0";"2023-07-04 19:50:54"
"5430";"17";"Сумська обл.";"1";"2023-07-04 20:32:18"
"5438";"20";"Херсонська обл.";"1";"2023-07-04 20:37:58"
"5417";"5";"Костянтинівка";"0";"2023-07-04 20:42:29"
"5431";"17";"Сумська обл.";"1";"2023-07-04 21:11:34"
"5418";"5";"Донецьк";"0";"2023-07-04 21:34:41"
"5419";"5";"Горлівка";"0";"2023-07-04 21:40:14"
"5420";"5";"Макіївка";"0";"2023-07-04 21:41:27"
"5439";"20";"Чаплинка";"0";"2023-07-04 22:28:21"
